split,camera,use,elevation_deg,bearing_deg,range_m,vials,bench,lab_varied,light,dark,degraded,selected_for_training
close_test,close,test,57.1,327.2,0.85,18,cluster,0,1.0,0,0,0
close_test,close,test,36.8,31.4,0.97,25,cluster,0,1.0,0,0,0
close_test,close,test,51.4,310.9,0.61,8,crowd,0,1.0,0,0,0
close_test,close,test,72.8,1.7,0.63,5,as built,0,1.0,0,0,0
close_test,close,test,37.0,294.2,0.85,13,scatter,0,1.0,0,0,0
close_test,close,test,66.2,173.3,0.76,43,crowd,0,1.0,0,0,0
close_test,close,test,42.2,269.9,0.88,1,scatter,0,1.0,0,0,0
close_test,close,test,61.6,257.6,0.98,9,as built,0,1.0,0,0,0
close_test,close,test,41.1,46.8,0.73,12,cluster,0,1.0,0,0,0
close_test,close,test,68.0,64.7,0.5,3,scatter,0,1.0,0,0,0
close_test,close,test,79.3,36.5,0.78,10,cluster,0,1.0,0,0,0
close_test,close,test,82.9,251.9,0.74,22,scatter,0,1.0,0,0,0
close_test,close,test,50.5,231.3,0.7,3,scatter,0,1.0,0,0,0
close_test,close,test,77.0,159.0,0.75,16,rows,0,1.0,0,0,0
close_test,close,test,76.0,137.7,0.77,3,scatter,0,1.0,0,0,0
close_test,close,test,77.6,182.3,0.41,4,crowd,0,1.0,0,0,0
close_test,close,test,40.7,195.7,0.42,4,as built,0,1.0,0,0,0
close_test,close,test,63.6,349.2,0.75,8,as built,0,1.0,0,0,0
close_test,close,test,49.5,242.9,0.87,11,clusters,0,1.0,0,0,0
close_test,close,test,73.8,146.8,0.7,4,as built,0,1.0,0,0,0
close_test,close,test,74.9,183.5,0.81,3,as built,0,1.0,0,0,0
close_test,close,test,44.0,47.9,0.4,8,rows,0,1.0,0,0,0
close_test,close,test,81.8,186.5,0.71,29,crowd,0,1.0,0,0,0
close_test,close,test,84.7,47.0,0.69,10,cluster,0,1.0,0,0,0
close_test,close,test,38.3,269.3,0.43,5,scatter,0,1.0,0,0,0
close_test,close,test,52.5,2.6,0.64,13,scatter,0,1.0,0,0,0
close_test,close,test,59.8,19.4,0.77,10,clusters,0,1.0,0,0,0
close_test,close,test,60.0,78.8,1.0,2,cluster,0,1.0,0,0,0
close_test,close,test,73.4,179.2,0.47,1,as built,0,1.0,0,0,0
close_test,close,test,30.9,343.5,0.78,17,rows,0,1.0,0,0,0
close_test,close,test,45.6,10.3,0.48,9,cluster,0,1.0,0,0,0
close_test,close,test,41.4,24.6,0.7,10,as built,0,1.0,0,0,0
close_test,close,test,55.8,284.4,0.83,6,cluster,0,1.0,0,0,0
close_test,close,test,41.1,343.7,0.47,5,as built,0,1.0,0,0,0
close_test,close,test,33.4,259.6,0.66,7,rows,0,1.0,0,0,0
close_test,close,test,63.6,213.0,0.8,10,crowd,0,1.0,0,0,0
close_test,close,test,66.8,46.1,0.6,17,rows,0,1.0,0,0,0
close_test,close,test,52.8,173.7,0.72,3,cluster,0,1.0,0,0,0
close_test,close,test,60.5,5.5,0.94,3,scatter,0,1.0,0,0,0
close_test,close,test,73.9,249.3,0.52,3,scatter,0,1.0,0,0,0
close_test,close,test,49.2,108.3,0.81,13,scatter,0,1.0,0,0,0
close_test,close,test,48.6,42.8,0.85,6,scatter,0,1.0,0,0,0
close_test,close,test,70.0,95.3,0.61,2,scatter,0,1.0,0,0,0
close_test,close,test,77.3,208.1,0.99,8,scatter,0,1.0,0,0,0
close_test,close,test,50.8,260.6,0.7,7,scatter,0,1.0,0,0,0
close_test,close,test,63.1,25.2,0.51,2,as built,0,1.0,0,0,0
close_test,close,test,78.5,153.8,0.69,12,clusters,0,1.0,0,0,0
close_test,close,test,78.8,47.8,0.8,19,cluster,0,1.0,0,0,0
close_test,close,test,75.7,181.7,0.8,3,as built,0,1.0,0,0,0
close_test,close,test,74.4,242.0,0.57,3,as built,0,1.0,0,0,0
close_test,close,test,70.8,85.1,0.35,5,scatter,0,1.0,0,0,0
close_test,close,test,74.2,160.4,0.91,9,scatter,0,1.0,0,0,0
close_test,close,test,55.7,29.8,0.98,54,crowd,0,1.0,0,0,0
close_test,close,test,42.7,83.6,0.62,1,cluster,0,1.0,0,0,0
close_test,close,test,64.3,300.3,0.86,20,scatter,0,1.0,0,0,0
close_test,close,test,84.9,151.8,0.93,3,crowd,0,1.0,0,0,0
close_test,close,test,50.7,2.0,0.58,28,scatter,0,1.0,0,0,0
close_test,close,test,66.8,92.3,0.7,3,as built,0,1.0,0,0,0
close_test,close,test,79.0,206.7,0.84,1,cluster,0,1.0,0,0,0
close_test,close,test,80.6,121.2,0.67,11,crowd,0,1.0,0,0,0
close_test,close,test,67.9,22.8,0.41,13,cluster,0,1.0,0,0,0
close_test,close,test,62.4,116.1,0.71,19,scatter,0,1.0,0,0,0
close_test,close,test,43.7,43.9,0.46,9,cluster,0,1.0,0,0,0
close_test,close,test,73.6,345.0,0.78,15,clusters,0,1.0,0,0,0
close_test,close,test,75.6,90.1,0.72,10,clusters,0,1.0,0,0,0
close_test,close,test,82.5,322.6,0.78,7,scatter,0,1.0,0,0,0
close_test,close,test,83.8,41.4,0.88,6,as built,0,1.0,0,0,0
close_test,close,test,53.4,91.6,0.41,15,rows,0,1.0,0,0,0
close_test,close,test,63.0,110.3,0.72,1,scatter,0,1.0,0,0,0
close_test,close,test,40.6,199.0,0.84,17,clusters,0,1.0,0,0,0
close_test,close,test,77.5,171.4,0.62,23,clusters,0,1.0,0,0,0
close_test,close,test,31.6,233.6,0.97,3,cluster,0,1.0,0,0,0
close_test,close,test,48.3,18.1,0.39,5,scatter,0,1.0,0,0,0
close_test,close,test,32.3,259.5,0.45,9,as built,0,1.0,0,0,0
close_test,close,test,84.0,99.1,0.66,5,as built,0,1.0,0,0,0
close_test,close,test,46.9,263.1,0.65,8,as built,0,1.0,0,0,0
close_test,close,test,55.2,56.8,0.53,2,as built,0,1.0,0,0,0
close_test,close,test,58.3,182.3,0.4,1,scatter,0,1.0,0,0,0
close_test,close,test,45.1,37.6,0.58,3,cluster,0,1.0,0,0,0
close_test,close,test,30.9,153.8,0.74,20,cluster,0,1.0,0,0,0
close_test,close,test,59.2,359.2,0.52,1,scatter,0,1.0,0,0,0
close_test,close,test,71.7,198.1,0.37,1,as built,0,1.0,0,0,0
close_test,close,test,53.6,330.0,0.77,30,clusters,0,1.0,0,0,0
close_test,close,test,32.9,5.2,0.35,11,clusters,0,1.0,0,0,0
close_test,close,test,36.2,90.1,0.68,2,scatter,0,1.0,0,0,0
close_test,close,test,50.5,240.7,0.97,24,rows,0,1.0,0,0,0
close_test,close,test,53.9,207.4,0.96,10,clusters,0,1.0,0,0,0
close_test,close,test,58.7,146.8,0.49,4,scatter,0,1.0,0,0,0
close_test,close,test,36.6,72.6,0.59,20,scatter,0,1.0,0,0,0
close_test,close,test,63.1,343.4,0.59,6,rows,0,1.0,0,0,0
close_test,close,test,41.3,238.0,0.59,8,cluster,0,1.0,0,0,0
close_test,close,test,63.5,39.4,0.77,1,cluster,0,1.0,0,0,0
close_test,close,test,49.6,20.9,0.91,4,scatter,0,1.0,0,0,0
close_test,close,test,73.7,104.1,0.51,1,scatter,0,1.0,0,0,0
close_test,close,test,33.8,159.0,0.45,5,rows,0,1.0,0,0,0
close_test,close,test,39.4,291.3,0.35,26,scatter,0,1.0,0,0,0
close_test,close,test,54.6,298.2,0.93,7,clusters,0,1.0,0,0,0
close_test,close,test,69.6,158.6,0.66,61,clusters,0,1.0,0,0,0
close_test,close,test,50.4,242.8,0.88,7,as built,0,1.0,0,0,0
close_test,close,test,37.1,42.5,0.52,2,cluster,0,1.0,0,0,0
close_test,close,test,80.6,129.1,0.84,9,clusters,0,1.0,0,0,0
close_test,close,test,38.1,237.8,0.68,3,scatter,0,1.0,0,0,0
close_test,close,test,43.5,161.7,0.42,9,scatter,0,1.0,0,0,0
close_test,close,test,84.7,111.8,0.81,2,scatter,0,1.0,0,0,0
close_test,close,test,64.4,119.6,0.57,4,scatter,0,1.0,0,0,0
close_test,close,test,30.7,287.5,0.43,4,rows,0,1.0,0,0,0
close_test,close,test,84.3,60.0,0.45,2,as built,0,1.0,0,0,0
close_test,close,test,57.6,348.1,0.99,13,cluster,0,1.0,0,0,0
