epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,172.112,0.84454,0.41428,0.00053,0.98517,0.9757,0.99317,0.8571,0.54076,0.28128,0.00077,0.000665755,0.000665755,0.000665755
2,299.339,0.78011,0.29977,0.00044,0.9883,0.97692,0.99336,0.8569,0.52216,0.238,0.0007,0.00127966,0.00127966,0.00127966
3,427.928,0.79355,0.28913,0.00043,0.98789,0.97869,0.99398,0.85718,0.51753,0.22646,0.00072,0.00184076,0.00184076,0.00184076
4,555.044,0.78625,0.27833,0.00044,0.98924,0.97981,0.99416,0.8729,0.47464,0.19868,0.00062,0.0017624,0.0017624,0.0017624
5,682.521,0.76129,0.26361,0.00042,0.98884,0.98159,0.99421,0.87642,0.4649,0.19144,0.00061,0.0016832,0.0016832,0.0016832
6,811.545,0.74963,0.25985,0.0004,0.99061,0.98196,0.99439,0.87359,0.45302,0.18167,0.00058,0.001604,0.001604,0.001604
7,953.578,0.73151,0.24636,0.00039,0.99116,0.98132,0.99439,0.87892,0.45438,0.18115,0.00058,0.0015248,0.0015248,0.0015248
8,1082.42,0.72341,0.24132,0.00038,0.99004,0.98394,0.99433,0.88143,0.44443,0.17937,0.00057,0.0014456,0.0014456,0.0014456
9,1210.31,0.71962,0.23879,0.00038,0.99063,0.98447,0.99459,0.88548,0.43395,0.16631,0.00056,0.0013664,0.0013664,0.0013664
10,1338.69,0.71583,0.23606,0.00037,0.99219,0.98333,0.99447,0.87873,0.47016,0.17698,0.00063,0.0012872,0.0012872,0.0012872
11,1479.96,0.70374,0.23077,0.00038,0.99258,0.98279,0.99449,0.88454,0.43412,0.16265,0.00055,0.001208,0.001208,0.001208
12,1607.99,0.68994,0.22409,0.00035,0.99176,0.98512,0.99459,0.88734,0.42307,0.16193,0.00053,0.0011288,0.0011288,0.0011288
13,1733.91,0.68606,0.22042,0.00035,0.99086,0.98381,0.99458,0.88896,0.42501,0.15632,0.00054,0.0010496,0.0010496,0.0010496
14,1862.37,0.68125,0.21962,0.00035,0.99087,0.98499,0.99458,0.88897,0.41296,0.15504,0.00052,0.0009704,0.0009704,0.0009704
15,1989.21,0.67375,0.21449,0.00034,0.99331,0.98359,0.99464,0.89076,0.40984,0.15346,0.00051,0.0008912,0.0008912,0.0008912
16,2112.23,0.63793,0.20466,0.00038,0.99155,0.98419,0.99462,0.89059,0.41583,0.15277,0.00053,0.000812,0.000812,0.000812
17,2231.32,0.61915,0.19827,0.00035,0.99243,0.98453,0.99463,0.88848,0.43344,0.15788,0.00054,0.0007328,0.0007328,0.0007328
18,2350.18,0.61273,0.19339,0.00035,0.99269,0.98459,0.99472,0.89272,0.40564,0.15044,0.00051,0.0006536,0.0006536,0.0006536
19,2470.02,0.61242,0.19327,0.00035,0.99117,0.98518,0.99451,0.8927,0.40059,0.14614,0.00051,0.0005744,0.0005744,0.0005744
20,2589.79,0.60056,0.18911,0.00034,0.99103,0.98553,0.99461,0.8943,0.40122,0.14816,0.0005,0.0004952,0.0004952,0.0004952
21,2709.43,0.59259,0.18545,0.00033,0.99292,0.98379,0.99469,0.893,0.3926,0.1432,0.00048,0.000416,0.000416,0.000416
22,2830.07,0.59265,0.1844,0.00032,0.99295,0.98368,0.99459,0.89493,0.38572,0.14049,0.00047,0.0003368,0.0003368,0.0003368
23,2948.55,0.58283,0.18156,0.00032,0.99228,0.98575,0.99473,0.8945,0.38389,0.1398,0.00047,0.0002576,0.0002576,0.0002576
24,3067.07,0.57856,0.18015,0.00031,0.99227,0.98514,0.99471,0.89643,0.38218,0.13776,0.00046,0.0001784,0.0001784,0.0001784
25,3185.92,0.57762,0.18043,0.00031,0.99239,0.98486,0.99464,0.89899,0.37946,0.13682,0.00046,9.92e-05,9.92e-05,9.92e-05
