id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,contacts_clamp_rig,contacts_clamp_pads,contacts_pipette_rig,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_rig_clear,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,seated,seat_torque_Nm,seat_extra_turns,seat_hold_s,error
A-10ml-f0.25-p-10.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,-10,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,91.18,28.46,555155,2479,16273,0,2138,0,0,0,0,0,0,1.302499999999912,21.317999999995667,21.318499999995666,3.338817243305199,2.7470720264835844,10.301469318214487,28.640902344587698,18.720514774164915,89.01407045294988,-0.1884016294718474,2479,0.02911319503197358,136.61744585506634,8.888440783083707,35.29920559089559,-24.66845198650232,1.153862838440674,22.34097623715531,0.2344131233183247,1.5011979845429435,25.768274552432032,17.495860079658947,92.28294253221816,False,True,False,False,False,False,False,True,False,table,False,0.7841828485998733,True,0.1251670710925563,0.017730203311935817,0.061,
A-10ml-f0.25-p+0.0-above-y0-x-6.0-y+0.0,A,dx,10,0.25,0,above,0,-6,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,97.84,28.4,548041,68140,36929,0,0,0,0,192726,0,0,0,,7.838499999998375,,3.7252268068997996,2.134722427473802,9.802537719687404,17.885798376580233,18.720514774164915,99.99355817768911,6.19608271460647,68140,90.80587348577566,1.5576547307867084,4.899291750246918,41.147376249223214,-30.63516870225537,1.2742083770304224,22.321294454644708,,8.487694896847977,45.721433167545726,1.824194579302439,99.8888704739195,True,True,True,False,True,True,False,False,False,lift,False,0.16373282290564575,False,,,0.0,
A-10ml-f0.25-p+5.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,5,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,104.31,28.46,563014,67540,20859,0,0,0,0,26988,0,0,0,,9.310499999999887,20.421499999997756,3.2724386181967478,4.966387945258542,9.802487175489462,18.529603500306276,18.720514774164915,99.19896946664645,2.3114622665119935,67540,78.69122489156135,2.8223034789021755,2.3310441097970616,9.702517074162403,0.7071471759629022,1.5067834817891277,22.283252842927936,-1.170972929269901,2.094690227446986,38.0157330949355,4.915293272129997,99.73256572867402,True,True,True,False,True,True,False,False,False,lift,False,0.35431547726000423,True,0.1647199201707304,0.015945069089759296,0.056,
A-10ml-f0.25-p+0.0-above-y0-x+3.0-y+0.0,A,dx,10,0.25,0,above,0,3,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,106.36,31.4,796363,78298,23998,0,0,0,0,0,0,0,0,,7.599499999998508,22.746999999992337,2.030740686368081,0.7314380056734349,9.802559381246287,18.33682766300845,18.720514774164915,99.38342858628943,6.776180106590278,78298,87.31268259317012,1.6620966426058033,1.3788979515127646,16.324176659215023,-5.854995734069099,1.569399722119147,22.273009556593347,0.23998559592304544,0.9505897253814569,30.18462855777599,0.8988117573659359,100.08903521997644,True,True,True,True,True,True,False,True,False,reach_liquid,False,0.1403702277248924,False,,,3.0,
A-10ml-f0.25-p+0.0-above-y0-x-3.0-y+0.0,A,dx,10,0.25,0,above,0,-3,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,113.6,29.63,703664,67984,23231,0,0,0,0,43306,0,0,0,,8.21649999999855,22.78899999999224,4.864732368938781,1.2369355645858047,9.80251807937075,18.463109330531626,18.720514774164915,99.20542447426035,5.534949405452655,67984,85.70545128086411,0.11444905168845336,1.1757099266586983,15.056438673857835,-4.5987591242764445,1.0179871329498489,22.36319589177072,0.04420497060587945,0.9906446092317813,39.71512792561997,0.9544494010547458,99.66693239566601,True,True,True,False,True,True,False,True,False,lift,False,0.18378992342875713,True,0.1346674145930378,0.4065350091865305,1.227,
A-10ml-f0.25-p+0.0-above-y0-x+0.0-y-6.0,A,dy,10,0.25,0,above,0,0,-6,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,125.57,28.4,604933,13340,37991,0,0,0,0,174229,0,0,0,,9.490000000000107,,6.267639193205829,17.683040786878642,9.801318039887498,18.52936202331401,18.720514774164915,99.19984203632782,-0.06678918072938744,13340,0.6789660828331673,122.49813401568184,5.757324789080316,41.750699574703866,-31.265418458339468,1.9712431006785756,22.207257013440284,,433.500436815949,24.945011376668564,5.290623243584431,96.8487753499562,True,True,True,False,True,False,False,False,False,lift,False,0.1706291212611469,False,,,0.0,
A-10ml-f0.25-p+0.0-side-y0-x+0.0-y+0.0,A,approach,10,0.25,0,side,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,139.54,28.4,615440,7582,52240,2492,0,0,0,194710,0,0,0,,9.463500000000074,,3.3086365173664847,4.015387209797427,9.808604564061206,18.514037385298906,18.720514774164915,99.20414638612688,-0.04875920762876379,7582,0.6821523815904571,119.3432806596773,6.403142465753133,40.30456889677971,-29.855781962284695,3.6950344959058574,21.924756465357223,,8.793599296350655,109.31136456822789,2.9815998063651032,0.3839951619549285,True,True,True,False,True,False,False,False,False,lift,False,0.12488668330561675,False,,,0.0,
A-10ml-f0.25-p+20.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,20,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,143.45,31.4,637231,9898,29913,0,8528,1764,0,64064,0,0,0,1.3974999999999016,26.806499999982876,26.806999999982875,4.317413845362005,6.8168395731127385,9.794679026344497,22.978198424327726,18.720514774164915,96.07563594344492,-0.006827390909319719,9898,0.027644286905693607,129.49626146747372,5.396966431777723,42.33055384826167,-29.286773861519606,16.75097613193554,19.71055383204791,0.8510760243475803,0.9116974241068875,68.23293399842252,90.00415700777833,11.154476585961266,False,True,True,False,False,False,False,True,False,table,False,0.6832526837692005,False,,,3.0,
A-10ml-f0.25-p+10.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,10,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,164.53,28.4,592243,5608,28165,0,2107,60,0,94403,0,0,0,1.5074999999998895,,,5.391514818229385,12.036427942747965,9.801876686238955,20.735040795060335,18.720514774164915,96.91865005563302,-3.456404058854237,5608,2.912975114691818,130.3909250497224,2.8821386401558873,42.965330181651304,-32.14337854338356,9.845082127635132,20.904215727397137,,5.571958925484178,45.10086857550342,7.995563325008177,98.16168191282402,False,True,True,False,False,False,False,False,False,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y270-x+0.0-y+0.0,A,yaw,10,0.25,0,above,270,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,171.22,28.4,621371,10179,31512,0,0,0,0,159398,0,0,0,,9.521000000000145,,5.338378550804966,15.113400840188083,9.797956178484585,18.514173741150756,18.720514774164915,99.2035559512238,2.6083809061703267,10179,0.560955438333051,126.97764600248718,9.050076968861985,33.49642228450162,-23.42388176911807,9.21278604609105,21.01049110926282,,9.71715272785974,17.45466948746336,90.02561569995372,11.163651891770554,True,True,True,False,False,False,False,False,False,lift,False,0.8503746455229363,False,,,0.0,
