id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,contacts_clamp_rig,contacts_clamp_pads,contacts_pipette_rig,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_rig_clear,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,seated,seat_torque_Nm,seat_extra_turns,seat_hold_s,error
A-10ml-f0.25-p+20.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,20,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,52.93,28.81,214171,46011,20964,0,2446,0,0,1793,0,0,0,1.5274999999998873,9.347999999999933,21.116499999996137,9.21223036622882,22.800832766549355,9.802298564441609,20.13846423153595,18.720514774164915,97.54198996945223,1.3769499290852625,46011,82.19702253146026,3.559918030128135,1.8192519437732937,10.704575244868096,-0.13586788072518508,19.543947292708282,19.204803301478968,-2.0014408387221376,5.069472165763434,24.28304117802215,19.242531001232937,101.63857645947253,False,True,True,False,True,True,False,False,False,table,False,0.8597617674258492,True,0.18795483871750346,0.2658076363391603,0.406,
A-10ml-f0.25-p+0.0-side-y0-x+0.0-y+0.0,A,approach,10,0.25,0,side,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,58.51,28.94,216526,16421,29190,0,0,0,0,8213,0,0,0,,9.401499999999999,20.575499999997398,3.5498005436225144,4.739285115795823,9.982066449414697,18.491173427175788,18.720514774164915,99.32104001902007,0.651755111086047,16421,0.9618185114879704,125.26255570234807,3.4564742032345155,30.717787042096134,-20.19460233459017,1.2569919625511947,22.324110203423363,0.514230077573104,1.0799867201154503,88.72263684589518,2.5496860137602635,0.26667866526579265,True,True,True,False,True,False,False,True,False,lift,False,0.5942941752375679,True,0.14737459241470535,0.35760755931183985,0.543,
A-10ml-f0.25-p+0.0-above-y0-x+0.0-y+3.0,A,dy,10,0.25,0,above,0,0,3,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,59.73,28.7,196068,12103,29797,0,0,0,0,12734,0,0,0,,9.403,20.867999999996716,4.927494404980458,7.401781178782375,9.802479959114285,18.491708280247533,18.720514774164915,99.33858316691823,0.6396557359059363,12103,0.8836035161994503,124.63640169696036,3.473484872914306,30.808222391885536,-20.29174171488596,1.1820111213750766,22.336372911903457,-2.183916985434541,3.506341471086221,24.538066430440214,5.07678523029419,99.68174911187162,True,True,True,False,True,False,False,False,False,lift,False,0.5985906855434211,True,0.2916606076711463,0.19404773738308537,0.299,
A-10ml-f0.25-p+0.0-above-y0-x-6.0-y+0.0,A,dx,10,0.25,0,above,0,-6,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,64.43,28.4,168094,9621,24720,0,0,0,0,0,0,0,0,,,,2.997305557283576,8.908702433840627,9.802562449343105,18.499227966506414,18.720514774164915,99.21795629620814,0.2283881994523465,9621,0.5230736677776345,124.83520417730203,2.5170406220154216,16.730826184089267,-6.077765520770689,4.490928921479871,21.79398289994763,,2.3080915138538267,7.8367383943640565,28.742415181988704,103.74629428065424,True,True,True,True,False,False,False,False,False,uncap,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y180-x+0.0-y+0.0,A,yaw,10,0.25,0,above,180,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,64.58,28.7,215473,16968,27960,0,0,0,0,7713,0,0,0,,9.438000000000043,20.42799999999774,3.11164203512241,3.085893333646691,9.802585310210583,18.489759340722355,18.720514774164915,99.36026140330333,-0.027128048123541137,16968,0.9735232346873864,125.74375638173285,3.634857775474949,29.510658925055502,-18.945925910437964,1.7793764994648227,22.23865518766605,0.4092629284552105,1.0291387607009705,21.51174816236644,0.8708161067539439,99.74662668277956,True,True,True,False,True,False,False,True,False,lift,False,0.17561766696700942,True,0.17785662762382634,0.19424630237851737,0.299,
A-10ml-f0.25-p+0.0-above-y0-x-3.0-y+0.0,A,dx,10,0.25,0,above,0,-3,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,65.16,28.4,202238,9711,25201,0,0,0,0,4895,0,0,0,,,,3.923803805741963,5.027580386003576,9.802445699760364,18.468040039597444,18.720514774164915,99.2751557943113,-3.9483418815279765,9711,2.0974440168720765,128.3458696112353,1.6038283078180289,19.925752216322195,-9.382185758429044,3.4853538961104618,21.959168022877304,,4.62467789505053,27.697139919220675,4.109375918884662,99.67325013945535,True,True,True,False,False,False,False,False,False,lift,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y0-x+0.0-y-6.0,A,dy,10,0.25,0,above,0,0,-6,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,67.01,31.4,273859,54423,23939,0,0,0,0,32787,0,0,0,,8.652499999999083,26.656999999983224,3.529413987217182,3.9031772376578684,9.802388274639544,18.567775029743615,18.720514774164915,99.13532765833264,4.261010197564696,54423,86.64705881141698,1.608156451422094,1.4534585048733457,17.354758713107778,-6.902373617406213,0.21086057055109647,22.495154596007374,-0.09237670134597101,0.977271843359848,32.2663692255259,3.256930275821597,99.12304224062103,True,True,True,False,True,True,False,True,False,lift,False,0.15152359883272956,False,,,3.0,
A-10ml-f0.25-p-20.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,-20,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,67.98,28.4,179043,0,18706,0,2564,0,0,0,0,0,0,1.1249999999999316,,,9.136467476493136,18.71488753182628,22.77284912685216,41.450631734926674,18.720514774164915,76.19997276955772,-0.20178471496144768,0,0.015539604515317404,143.73840302992903,0.4051267171336761,43.54575720738992,-33.097714604866646,1.5232829597319362,22.28055377899292,,0.20191249729215416,25.397630364436544,15.304707312533127,79.25030397452583,False,True,False,False,False,False,False,False,False,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y270-x+0.0-y+0.0,A,yaw,10,0.25,0,above,270,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,68.74,28.4,212737,12956,30996,0,0,0,0,19603,0,0,0,,9.42700000000003,,5.071288749958982,4.879894304840847,9.80244587330479,18.49050473622529,18.720514774164915,99.29153528333113,1.3886985532597929,12956,0.883419671277723,124.47820298447657,3.686344556399324,32.92819881133118,-22.341848925378745,2.34969686838934,22.145302730179267,,1.879121029286757,26.6551042422567,2.3244344568643216,99.32281834360664,True,True,True,False,True,False,False,False,False,lift,False,0.44666202203250194,False,,,0.0,
A-10ml-f0.25-p-5.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,-5,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,69.54,28.4,194698,4968,24743,0,1789,0,0,0,0,0,0,1.4349999999998975,,,3.766582569919677,8.42303843424881,9.796329258657844,22.698028639733753,18.720514774164915,94.92909590213439,-1.6163870350529297,4968,1.103098803022131,133.53237834734296,1.7940638097421955,29.753250190423735,-19.261725271077488,4.16047216635871,21.848312051770478,,5.02907171393249,28.08160324703585,88.40976751360316,11.103978615625039,False,True,True,False,False,False,False,False,False,table,False,,False,,,0.0,
